Y Upper Quartile	Count	Y Std	Y Lower Quartile	Y Median	X Mean	Y Mean	X Center
nan	0	nan	nan	nan	nan	nan	3.6216678344652173
nan	0	nan	nan	nan	nan	nan	3.660883520739727
nan	0	nan	nan	nan	nan	nan	3.700099207014237
nan	0	nan	nan	nan	nan	nan	3.7393148932887468
nan	0	nan	nan	nan	nan	nan	3.778530579563257
nan	0	nan	nan	nan	nan	nan	3.8177462658377666
nan	0	nan	nan	nan	nan	nan	3.856961952112276
nan	0	nan	nan	nan	nan	nan	3.896177638386786
nan	0	nan	nan	nan	nan	nan	3.9353933246612955
nan	0	nan	nan	nan	nan	nan	3.9746090109358057
nan	0	nan	nan	nan	nan	nan	4.013824697210316
nan	0	nan	nan	nan	nan	nan	4.053040383484825
nan	0	nan	nan	nan	nan	nan	4.092256069759335
nan	0	nan	nan	nan	nan	nan	4.131471756033845
nan	0	nan	nan	nan	nan	nan	4.170687442308354
nan	0	nan	nan	nan	nan	nan	4.209903128582864
nan	0	nan	nan	nan	nan	nan	4.249118814857374
nan	0	nan	nan	nan	nan	nan	4.288334501131884
nan	0	nan	nan	nan	nan	nan	4.327550187406394
nan	0	nan	nan	nan	nan	nan	4.366765873680904
nan	0	nan	nan	nan	nan	nan	4.405981559955413
nan	0	nan	nan	nan	nan	nan	4.445197246229924
nan	0	nan	nan	nan	nan	nan	4.4844129325044335
nan	0	nan	nan	nan	nan	nan	4.523628618778943
nan	0	nan	nan	nan	nan	nan	4.562844305053453
nan	0	nan	nan	nan	nan	nan	4.6020599913279625
nan	0	nan	nan	nan	nan	nan	4.641275677602472
nan	0	nan	nan	nan	nan	nan	4.680491363876982
nan	0	nan	nan	nan	nan	nan	4.7197070501514915
13.73055670044414	1660	0.0	13.73055670044414	13.73055670044414	4.778446186801469	13.73055670044414	4.758922736426001
-10.996059667122609	164	0.0	-10.996059667122609	-10.996059667122609	4.800770503140886	-10.996059667122609	4.798138422700512
3.4274016113013204	10770	0.0	3.4274016113013204	3.4274016113013204	4.824667980979266	3.4274016113013204	4.837354108975021
nan	0	nan	nan	nan	nan	nan	4.876569795249531
nan	0	nan	nan	nan	nan	nan	4.915785481524041
nan	0	nan	nan	nan	nan	nan	4.955001167798551
nan	0	nan	nan	nan	nan	nan	4.994216854073061
-0.9448762361989793	19672	2.5304311096561785	-0.9448762361989793	-0.9448762361989793	5.025052752884135	-0.6250394933702886	5.033432540347571
7.9301528335408875	6631	0.0	7.9301528335408875	7.9301528335408875	5.0574927355899115	7.9301528335408875	5.07264822662208
nan	0	nan	nan	nan	nan	nan	5.11186391289659
-5.556564920065284	6998	0.0	-5.556564920065284	-5.556564920065284	5.163491692109963	-5.556564920065284	5.1510795991711
nan	0	nan	nan	nan	nan	nan	5.190295285445609
nan	0	nan	nan	nan	nan	nan	5.229510971720119
-13.283920487923751	10571	0.0	-13.283920487923751	-13.283920487923751	5.28104064123456	-13.283920487923751	5.268726657994629
-9.35421446631699	318	0.0	-9.35421446631699	-9.35421446631699	5.304239978147323	-9.35421446631699	5.307942344269139
nan	0	nan	nan	nan	nan	nan	5.347158030543649
-8.828310161796253	281	0.0	-8.828310161796253	-8.828310161796253	5.403333689348664	-8.828310161796253	5.3863737168181585
nan	0	nan	nan	nan	nan	nan	5.425589403092668
nan	0	nan	nan	nan	nan	nan	5.464805089367179
nan	0	nan	nan	nan	nan	nan	5.504020775641688
nan	0	nan	nan	nan	nan	nan	5.543236461916198
nan	0	nan	nan	nan	nan	nan	5.582452148190708
