Y Median	Y Lower Quartile	Y Std	Count	X Center	X Mean	Y Upper Quartile	Y Mean
nan	nan	nan	0	3.6216678344652173	nan	nan	nan
nan	nan	nan	0	3.660883520739727	nan	nan	nan
nan	nan	nan	0	3.700099207014237	nan	nan	nan
nan	nan	nan	0	3.7393148932887468	nan	nan	nan
nan	nan	nan	0	3.778530579563257	nan	nan	nan
nan	nan	nan	0	3.8177462658377666	nan	nan	nan
nan	nan	nan	0	3.856961952112276	nan	nan	nan
nan	nan	nan	0	3.896177638386786	nan	nan	nan
nan	nan	nan	0	3.9353933246612955	nan	nan	nan
nan	nan	nan	0	3.9746090109358057	nan	nan	nan
nan	nan	nan	0	4.013824697210316	nan	nan	nan
nan	nan	nan	0	4.053040383484825	nan	nan	nan
nan	nan	nan	0	4.092256069759335	nan	nan	nan
nan	nan	nan	0	4.131471756033845	nan	nan	nan
nan	nan	nan	0	4.170687442308354	nan	nan	nan
nan	nan	nan	0	4.209903128582864	nan	nan	nan
nan	nan	nan	0	4.249118814857374	nan	nan	nan
nan	nan	nan	0	4.288334501131884	nan	nan	nan
nan	nan	nan	0	4.327550187406394	nan	nan	nan
nan	nan	nan	0	4.366765873680904	nan	nan	nan
nan	nan	nan	0	4.405981559955413	nan	nan	nan
nan	nan	nan	0	4.445197246229924	nan	nan	nan
nan	nan	nan	0	4.4844129325044335	nan	nan	nan
nan	nan	nan	0	4.523628618778943	nan	nan	nan
nan	nan	nan	0	4.562844305053453	nan	nan	nan
nan	nan	nan	0	4.6020599913279625	nan	nan	nan
nan	nan	nan	0	4.641275677602472	nan	nan	nan
nan	nan	nan	0	4.680491363876982	nan	nan	nan
nan	nan	nan	0	4.7197070501514915	nan	nan	nan
-11.213320406197454	-11.213320406197454	0.0	1660	4.758922736426001	4.778159025709008	-11.213320406197454	-11.213320406197454
4.713083556916899	4.713083556916899	0.0	164	4.798138422700512	4.800473795614455	4.713083556916899	4.713083556916899
3.171097931392069	3.171097931392069	4.440892098500626e-16	10770	4.837354108975021	4.824668300145707	3.171097931392069	3.1710979313920693
nan	nan	nan	0	4.876569795249531	nan	nan	nan
nan	nan	nan	0	4.915785481524041	nan	nan	nan
nan	nan	nan	0	4.955001167798551	nan	nan	nan
nan	nan	nan	0	4.994216854073061	nan	nan	nan
1.3409899817252153	1.3409899817252153	1.1340407073860252	19672	5.033432540347571	5.024816494867936	1.3409899817252153	1.5152142308228993
-5.583254439681696	-5.583254439681696	0.0	6631	5.07264822662208	5.057404510735838	-5.583254439681696	-5.583254439681696
nan	nan	nan	0	5.11186391289659	nan	nan	nan
7.014172713214066	7.014172713214066	0.0	6998	5.1510795991711	5.163437289503263	7.014172713214066	7.014172713214066
nan	nan	nan	0	5.190295285445609	nan	nan	nan
nan	nan	nan	0	5.229510971720119	nan	nan	nan
-4.691002151370412	-4.691002151370412	0.0	10571	5.268726657994629	5.280930466444498	-4.691002151370412	-4.691002151370412
-1.2714268604886456	-1.2714268604886456	0.0	318	5.307942344269139	5.3044512226664455	-1.2714268604886456	-1.2714268604886456
nan	nan	nan	0	5.347158030543649	nan	nan	nan
-0.39786793995517655	-0.39786793995517655	0.0	281	5.3863737168181585	5.403315661624646	-0.39786793995517655	-0.39786793995517655
nan	nan	nan	0	5.425589403092668	nan	nan	nan
nan	nan	nan	0	5.464805089367179	nan	nan	nan
nan	nan	nan	0	5.504020775641688	nan	nan	nan
nan	nan	nan	0	5.543236461916198	nan	nan	nan
nan	nan	nan	0	5.582452148190708	nan	nan	nan
