Y Mean	Y Median	Y Std	X Center	Y Lower Quartile	Y Upper Quartile	Count	X Mean
nan	nan	nan	3.6216678344652173	nan	nan	0	nan
nan	nan	nan	3.660883520739727	nan	nan	0	nan
nan	nan	nan	3.700099207014237	nan	nan	0	nan
nan	nan	nan	3.7393148932887468	nan	nan	0	nan
nan	nan	nan	3.778530579563257	nan	nan	0	nan
nan	nan	nan	3.8177462658377666	nan	nan	0	nan
nan	nan	nan	3.856961952112276	nan	nan	0	nan
nan	nan	nan	3.896177638386786	nan	nan	0	nan
nan	nan	nan	3.9353933246612955	nan	nan	0	nan
nan	nan	nan	3.9746090109358057	nan	nan	0	nan
nan	nan	nan	4.013824697210316	nan	nan	0	nan
nan	nan	nan	4.053040383484825	nan	nan	0	nan
nan	nan	nan	4.092256069759335	nan	nan	0	nan
nan	nan	nan	4.131471756033845	nan	nan	0	nan
nan	nan	nan	4.170687442308354	nan	nan	0	nan
nan	nan	nan	4.209903128582864	nan	nan	0	nan
nan	nan	nan	4.249118814857374	nan	nan	0	nan
nan	nan	nan	4.288334501131884	nan	nan	0	nan
nan	nan	nan	4.327550187406394	nan	nan	0	nan
nan	nan	nan	4.366765873680904	nan	nan	0	nan
nan	nan	nan	4.405981559955413	nan	nan	0	nan
nan	nan	nan	4.445197246229924	nan	nan	0	nan
nan	nan	nan	4.4844129325044335	nan	nan	0	nan
nan	nan	nan	4.523628618778943	nan	nan	0	nan
nan	nan	nan	4.562844305053453	nan	nan	0	nan
nan	nan	nan	4.6020599913279625	nan	nan	0	nan
nan	nan	nan	4.641275677602472	nan	nan	0	nan
nan	nan	nan	4.680491363876982	nan	nan	0	nan
nan	nan	nan	4.7197070501514915	nan	nan	0	nan
10.091763171643834	10.091763171643834	0.0	4.758922736426001	10.091763171643834	10.091763171643834	1660	4.778426245874384
-16.248019487891725	-16.248019487891725	0.0	4.798138422700512	-16.248019487891725	-16.248019487891725	164	4.80031695177202
-2.4183305689693952	-2.4183305689693952	0.0	4.837354108975021	-2.4183305689693952	-2.4183305689693952	10770	4.8247270280989145
nan	nan	nan	4.876569795249531	nan	nan	0	nan
nan	nan	nan	4.915785481524041	nan	nan	0	nan
nan	nan	nan	4.955001167798551	nan	nan	0	nan
nan	nan	nan	4.994216854073061	nan	nan	0	nan
-0.8740234247692708	-1.9480602135881782	1.9549485434448064	5.033432540347571	-1.9480602135881782	1.4414925364890223	19672	5.024974573474556
3.293984095629639	3.2939840956296393	4.440892098500626e-16	5.07264822662208	3.2939840956296393	3.2939840956296393	6631	5.057480700379393
nan	nan	nan	5.11186391289659	nan	nan	0	nan
-3.797343417552838	-3.797343417552838	0.0	5.1510795991711	-3.797343417552838	-3.797343417552838	6998	5.16358188654788
nan	nan	nan	5.190295285445609	nan	nan	0	nan
nan	nan	nan	5.229510971720119	nan	nan	0	nan
-1.2460587850910088	-1.2460587850910088	0.0	5.268726657994629	-1.2460587850910088	-1.2460587850910088	10571	5.280964513153758
-4.06691892876006	-4.06691892876006	0.0	5.307942344269139	-4.06691892876006	-4.06691892876006	318	5.304439275902177
nan	nan	nan	5.347158030543649	nan	nan	0	nan
4.387675617557761	4.387675617557761	0.0	5.3863737168181585	4.387675617557761	4.387675617557761	281	5.403467842554214
nan	nan	nan	5.425589403092668	nan	nan	0	nan
nan	nan	nan	5.464805089367179	nan	nan	0	nan
nan	nan	nan	5.504020775641688	nan	nan	0	nan
nan	nan	nan	5.543236461916198	nan	nan	0	nan
nan	nan	nan	5.582452148190708	nan	nan	0	nan
